,Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement
1207,"In a school , there are number0 girls and number1 boys . How many pupils are there in that school ?",542.0 387.0,+ number0 number1,929.0,"[5, 6, 7, 8, 9, 10, 17, 18, 19]","In a school , there are number0 girls and number1 boys .",How many pupils are there in that school ?
1208,Mrs. Hilt bought number0 pizzas . Each pizza had number1 slices . How many total slices of pizza did she have ?,2.0 8.0,* number0 number1,16.0,"[2, 3, 4, 8, 9, 10, 18, 19, 20]",Mrs. Hilt bought number0 pizzas . Each pizza had number1 slices .,How many total slices of pizza did she have ?
1209,"Zoe and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Zoe recycled number1 pounds and her friends recycled number2 pounds , how many points did they earn ?",8.0 25.0 23.0,/ + number1 number2 number0,6.0,"[12, 13, 14, 24, 25, 26, 30, 31, 32, 37, 38, 39]","Zoe and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Zoe recycled number1 pounds and her friends recycled number2 pounds ,",how many points did they earn ?
1210,"Mary had number0 baseball cards , and number1 were torn . Fred gave Mary number2 new baseball cards . Mary bought number3 baseball cards . How many baseball cards does Mary have now ?",18.0 8.0 26.0 40.0,+ + number0 number2 number3,84.0,"[1, 2, 3, 4, 6, 7, 8, 9]","Mary had number0 baseball cards , and number1 were torn . Fred gave Mary number2 new baseball cards . Mary bought number3 baseball cards .",How many baseball cards does Mary have now ?
1211,There are number0 apples in a pile on the desk . Each apple comes in a package of number1 . number2 apples are added to the pile . How many apples are there in the pile ?,2.0 7.0 4.0,+ number0 number2,6.0,"[1, 2, 3, 17, 18, 19, 19, 20, 21, 33, 34, 35]",There are number0 apples in a pile on the desk . Each apple comes in a package of number1 . number2 apples are added to the pile .,How many apples are there in the pile ?
1212,Tom found number0 seashells on the beach . he gave Jessica number1 of the seashells . How many seashells does he now have ?,5.0 2.0,- number0 number1,3.0,"[1, 2, 3, 10, 11, 12, 20, 21, 22]",Tom found number0 seashells on the beach . he gave Jessica number1 of the seashells .,How many seashells does he now have ?
1213,A multi - national corporation has number0 part - time employees and number1 full - time employees . How many employees work for the corporation ?,2041.0 63093.0,+ number0 number1,65134.0,"[5, 6, 7, 11, 12, 13, 22, 23, 24]",A multi - national corporation has number0 part - time employees and number1 full - time employees .,How many employees work for the corporation ?
1214,Neale makes number0 dollars per hour . He worked number1 hours and recieved number2 dollars in tips what is his salary ?,5.6 22.5 42.25,+ * number0 number1 number2,168.25,"[1, 2, 3, 8, 9, 10, 12, 13, 14, 18, 19, 20]",Neale makes number0 dollars per hour . He worked number1 hours and recieved number2 dollars in tips,what is his salary ?
1215,A toy store had number0 giant stuffed bears in stock when they got another shipment with number1 bears in it . The put the bears onto shelves with number2 on each shelf . How many shelves did they use ?,5.0 7.0 6.0,/ + number0 number1 number2,2.0,"[3, 4, 5, 15, 16, 17, 27, 28, 29, 36, 37, 38]",A toy store had number0 giant stuffed bears in stock when they got another shipment with number1 bears in it . The put the bears onto shelves with number2 on each shelf .,How many shelves did they use ?
1216,A truck carrying number0 pounds of sand travels to a construction yard and loses number1 pounds of sand along the way . How much sand does the truck have when it arrives at the yard ?,4.1 2.4,- number0 number1,1.7,"[2, 3, 4, 13, 14, 15, 32, 33, 34]",A truck carrying number0 pounds of sand travels to a construction yard and loses number1 pounds of sand along the way .,How much sand does the truck have when it arrives at the yard ?
1217,Nancy has saved number0 dozen quarters from washing cars . How much money does Nancy have ?,1.0,* 12.0 0.25,3.0,"[2, 3, 4, 15, 16, 17]",Nancy has saved number0 dozen quarters from washing cars .,How much money does Nancy have ?
1218,"Paul bought number0 boxes of chocolate candy and number1 boxes of caramel candy . If each box has number2 pieces inside it , how much candy did he have total ?",6.0 4.0 9.0,* number2 + number0 number1,90.0,"[1, 2, 3, 7, 8, 9, 17, 18, 19, 27, 28, 29]","Paul bought number0 boxes of chocolate candy and number1 boxes of caramel candy . If each box has number2 pieces inside it ,",how much candy did he have total ?
1219,Lisa starts with number0 bananas . Maria gives Lisa number1 more . How many bananas does Lisa end with ?,91.0 8.0,+ number0 number1,99.0,"[2, 3, 4, 8, 9, 10, 16, 17, 18]",Lisa starts with number0 bananas . Maria gives Lisa number1 more .,How many bananas does Lisa end with ?
1220,Fred grew number0 cantelopes . Tim grew number1 cantelopes . How many cantelopes did they grow in total ?,38.0 44.0,+ number0 number1,82.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17]",Fred grew number0 cantelopes . Tim grew number1 cantelopes .,How many cantelopes did they grow in total ?
1221,"There were number0 friends playing a video game online when number1 more players joined the game . If each player had number2 lives , how many lives did they have total ?",2.0 2.0 6.0,* number2 + number0 number0,24.0,"[1, 2, 3, 9, 10, 11, 20, 21, 22, 28, 29, 30]","There were number0 friends playing a video game online when number1 more players joined the game . If each player had number2 lives ,",how many lives did they have total ?
1222,Joan decided to sell all of her old books . She gathered up number0 books to sell . She sold number1 books in a yard sale . How many books does Joan now have ?,33.0 26.0,- number0 number1,7.0,"[12, 13, 14, 19, 20, 21, 31, 32, 33]",Joan decided to sell all of her old books . She gathered up number0 books to sell . She sold number1 books in a yard sale .,How many books does Joan now have ?
1223,There are number0 blocks . number1 blocks more are added . How many are there total ?,86.0 9.0,+ number0 number1,95.0,"[1, 2, 3, 4, 5, 6, 13, 14, 15]",There are number0 blocks . number1 blocks more are added .,How many are there total ?
1224,"A pet shelter had number0 puppies when another number1 were brought in . If number2 puppies a day are adopted , how long would it take for all of them to be adopted ?",17.0 55.0 8.0,/ + number0 number1 number2,9.0,"[3, 4, 5, 7, 8, 9, 13, 14, 15, 30, 31, 32]","A pet shelter had number0 puppies when another number1 were brought in . If number2 puppies a day are adopted ,",how long would it take for all of them to be adopted ?
1225,Each bag contains number0 pounds of oranges . How many pounds of oranges are in number1 bags ?,23.0 45.0,* number0 number1,1035.0,"[2, 3, 4, 14, 15, 16, 14, 15, 16]",Each bag contains number0 pounds of oranges .,How many pounds of oranges are in number1 bags ?
1226,Sam had number0 pennies and number1 dimes in his bank . His sister borrowed number2 dimes . How many dimes does Sam have now ?,7.0 8.0 4.0,- number1 number2,4.0,"[1, 2, 3, 4, 5, 6, 13, 14, 15, 21, 22, 23]",Sam had number0 pennies and number1 dimes in his bank . His sister borrowed number2 dimes .,How many dimes does Sam have now ?
1227,Sarah picked number0 apples . Her brother picked number1 apples . How many times as many apples did Sarah pick ?,45.0 9.0,/ number0 number1,5.0,"[1, 2, 3, 7, 8, 9, 17, 18, 19]",Sarah picked number0 apples . Her brother picked number1 apples .,How many times as many apples did Sarah pick ?
1228,Christopher strolled number0 miles at number1 miles per hour . How long did Christopher stroll ?,5.0 4.0,/ number0 number1,1.25,"[1, 2, 3, 4, 5, 6, 12, 13, 14]",Christopher strolled number0 miles at number1 miles per hour .,How long did Christopher stroll ?
1229,"Henry had number0 action figures , but needed number1 total for a complete collection . If each one costs $ number2 , how much money would he need to finish his collection ?",3.0 8.0 6.0,* number2 - number1 number0,30.0,"[1, 2, 3, 7, 8, 9, 19, 20, 21, 29, 30, 31]","Henry had number0 action figures , but needed number1 total for a complete collection . If each one costs $ number2 ,",how much money would he need to finish his collection ?
1230,"Jonathan wants to buy a dictionary that costs $ number0 , a dinosaur book that costs $ number1 , and a children 's cookbook that costs $ number2 . He has saved $ number3 from his allowance . How much more money does Jonathan need to buy all three books ?",11.0 19.0 7.0 8.0,- + + number0 number1 number2 number3,29.0,"[8, 9, 10, 16, 17, 18, 26, 27, 28, 32, 33, 34, 47, 48, 49]","Jonathan wants to buy a dictionary that costs $ number0 , a dinosaur book that costs $ number1 , and a children 's cookbook that costs $ number2 . He has saved $ number3 from his allowance .",How much more money does Jonathan need to buy all three books ?
1231,A person pays number0 dollars for number1 months use of an internet service . How much will number2 months of service cost ?,145.8 6.0 7.0,* / number0 number1 number2,170.1,"[2, 3, 4, 5, 6, 7, 16, 17, 18, 19, 20, 21]",A person pays number0 dollars for number1 months use of an internet service .,How much will number2 months of service cost ?
1232,"At a restaurant each adult meal costs $ number0 and kids eat free . If a group of number1 people came in and number2 were kids , how much would it cost for the group to eat ?",2.0 9.0 2.0,* number0 - number1 number0,14.0,"[7, 8, 9, 17, 18, 19, 22, 23, 24, 34, 35, 36]","At a restaurant each adult meal costs $ number0 and kids eat free . If a group of number1 people came in and number2 were kids ,",how much would it cost for the group to eat ?
1233,"There were number0 girls and number1 boys trying out for the schools basketball team . If only number2 of them got called back , how many students did n't make the cut ?",17.0 32.0 10.0,- + number0 number1 number2,39.0,"[1, 2, 3, 4, 5, 6, 16, 17, 18, 29, 30, 31]","There were number0 girls and number1 boys trying out for the schools basketball team . If only number2 of them got called back ,",how many students did n't make the cut ?
1234,A group of science students went on a field trip . They took number0 vans and number1 buses . There were number2 people in each van and number3 people in each bus . How many people went on the field trip ?,6.0 8.0 6.0 18.0,+ * number0 number0 * number1 number3,180.0,"[12, 13, 14, 15, 16, 17, 20, 21, 22, 26, 27, 28, 38, 39, 40]",A group of science students went on a field trip . They took number0 vans and number1 buses . There were number2 people in each van and number3 people in each bus .,How many people went on the field trip ?
1235,Jason has number0 books and he has read number1 of them . Mary has number2 books . How many books do they have together ?,18.0 9.0 42.0,+ number0 number2,60.0,"[1, 2, 3, 7, 8, 9, 13, 14, 15, 21, 22, 23]",Jason has number0 books and he has read number1 of them . Mary has number2 books .,How many books do they have together ?
1236,Charlie has number0 more snowballs than Lucy . She has number1 snowballs . How many does Charlie have ?,31.0 19.0,+ number0 number1,50.0,"[1, 2, 3, 9, 10, 11, 15, 16, 17]",Charlie has number0 more snowballs than Lucy . She has number1 snowballs .,How many does Charlie have ?
1237,Ronald went to the store number0 times last month . He buys number1 bananas each time he goes to the store . How many bananas did Ronald buy last month ?,2.0 10.0,* number0 number1,20.0,"[4, 5, 6, 11, 12, 13, 27, 28, 29]",Ronald went to the store number0 times last month . He buys number1 bananas each time he goes to the store .,How many bananas did Ronald buy last month ?
1238,There are number0 birds on the fence . number1 more birds land on the fence . How many birds are on the fence ?,12.0 8.0,+ number0 number1,20.0,"[1, 2, 3, 7, 8, 9, 20, 21, 22]",There are number0 birds on the fence . number1 more birds land on the fence .,How many birds are on the fence ?
1239,"If apples cost number0 dollars for number1 pounds , what is the cost , at the same rate , of number2 pounds of apples ?",3.75 3.0 7.0,* / number0 number1 number2,8.75,"[2, 3, 4, 5, 6, 7, 19, 20, 21, 21, 22, 23]","If apples cost number0 dollars for number1 pounds ,","what is the cost , at the same rate , of number2 pounds of apples ?"
1240,"A chef needs to cook number0 potatoes . He has already cooked number1 . If each potato takes number2 minutes to cook , how long will it take him to cook the rest ?",12.0 6.0 6.0,* number1 - number0 number1,36.0,"[4, 5, 6, 11, 12, 13, 17, 18, 19, 30, 31, 32]","A chef needs to cook number0 potatoes . He has already cooked number1 . If each potato takes number2 minutes to cook ,",how long will it take him to cook the rest ?
1241,"Jerry made number0 dollars mowing lawns and number1 dollars weed eating . If he only spent number2 dollar a week , how long would the money last him ?",14.0 31.0 5.0,/ + number0 number1 number2,9.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17, 25, 26, 27]","Jerry made number0 dollars mowing lawns and number1 dollars weed eating . If he only spent number2 dollar a week ,",how long would the money last him ?
