,Question,Numbers,Equation,Answer,group_nums,Grade,Type,Body,Ques_Statement
783,at band practice there were number0 rows of students with number1 students in each row and then another number2 students in the back . how many students were there total ?,4 8 9,+ * number0 number1 number2,41.0,"[1, 4, 5, 6, 9, 10, 11, 13, 17, 18, 19, 27, 28, 29]",3,Addition,at band practice there were number0 rows of students with number1 students in each row and then another number2 students in the back .,how many students were there total ?
784,while playing a game frank defeated number0 enemies . each enemy earned him number1 points . then he got another number2 points for completing the level . how many points did he earn total ?,6 9 8,+ * number0 number1 number2,62.0,"[32, 1, 2, 33, 5, 6, 7, 9, 12, 13, 14, 19, 20, 21, 31]",3,Addition,while playing a game frank defeated number0 enemies . each enemy earned him number1 points . then he got another number2 points for completing the level .,how many points did he earn total ?
785,wendy 's brother had number0 pieces of candy . wendy had number1 boxes with number2 pieces each . how many pieces did they have total ?,6 2 3,+ * number1 number2 number0,12.0,"[1, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 22, 23, 24]",3,Addition,wendy 's brother had number0 pieces of candy . wendy had number1 boxes with number2 pieces each .,how many pieces did they have total ?
786,a baker made number0 batches of chocolate chip cookies . each batch had number1 cookies in it . then he made an additional number2 oatmeal cookies just in case someone did n't want chocolate chip . how many cookies did he bake total ?,2 3 4,+ * number0 number1 number2,10.0,"[1, 2, 3, 4, 5, 40, 41, 10, 42, 12, 13, 14, 22, 23, 24, 25]",3,Addition,a baker made number0 batches of chocolate chip cookies . each batch had number1 cookies in it . then he made an additional number2 oatmeal cookies just in case someone did n't want chocolate chip .,how many cookies did he bake total ?
787,a report said that each day the average youtube viewer watches number0 videos with each video lasting number1 minutes . additionally they also watch number2 minutes of ads . according to the report how many minutes total do people spend on youtube ?,2 7 3,+ * number0 number1 number2,17.0,"[3, 4, 5, 39, 40, 41, 10, 11, 12, 14, 16, 17, 18, 23, 24, 25]",3,Addition,a report said that each day the average youtube viewer watches number0 videos with each video lasting number1 minutes . additionally they also watch number2 minutes of ads . according to the report,how many minutes total do people spend on youtube ?
788,zoe bought an app that cost $ number0 dollars . then each month you have to pay $ number1 to play online . if she played the game online for number2 months how much money would she have spent total for the app and the online access ?,5 8 2,+ * number1 number2 number0,21.0,"[5, 6, 7, 8, 11, 44, 45, 46, 17, 18, 19, 29, 30, 31]",3,Addition,zoe bought an app that cost $ number0 dollars . then each month you have to pay $ number1 to play online . if she played the game online for number2 months,how much money would she have spent total for the app and the online access ?
789,adam had number0 boxes of toys . each box had number1 toys . later adam bought number2 more toys . how many toys did he have total ?,8 6 5,+ * number0 number1 number2,53.0,"[1, 2, 3, 4, 5, 7, 9, 10, 11, 15, 16, 17, 18, 24, 25, 26]",3,Addition,adam had number0 boxes of toys . each box had number1 toys . later adam bought number2 more toys .,how many toys did he have total ?
790,a company was offering a special on cell phones for $ number0 each . but only if you spent number1 dollars a month for number2 months . how much would it end up costing you total if you bought number3 phone ?,2 7 4 1,+ * number1 number2 number0,30.0,"[38, 39, 40, 10, 11, 12, 18, 19, 20, 23, 24, 25]",3,Addition,a company was offering a special on cell phones for $ number0 each . but only if you spent number1 dollars a month for number2 months .,how much would it end up costing you total if you bought number3 phone ?
791,at the arcade amy had number0 tickets she saved from the last time she went . this time she played a game number1 times and earned number2 tickets each time she played . how many tickets does she have now ?,6 7 5,+ * number1 number2 number0,41.0,"[1, 4, 5, 6, 37, 38, 9, 39, 21, 22, 23, 25, 26, 27, 28]",3,Addition,at the arcade amy had number0 tickets she saved from the last time she went . this time she played a game number1 times and earned number2 tickets each time she played .,how many tickets does she have now ?
792,a grocery store had number0 bottles of regular soda and number1 bottles of diet soda . how many bottles did they have total ?,49 35,+ number0 number1,84.0,"[1, 3, 4, 5, 9, 10, 11, 20, 21, 22]",2,Addition,a grocery store had number0 bottles of regular soda and number1 bottles of diet soda .,how many bottles did they have total ?
793,while playing a game sam had number0 points . if he scored another number1 points how many points would he have total ?,92 3,+ number0 number1,95.0,"[2, 5, 6, 7, 11, 12, 13, 14, 19, 20, 21]",2,Addition,while playing a game sam had number0 points . if he scored another number1 points,how many points would he have total ?
794,in the first half of a trivia game kaleb scored number0 points . in the second half he scored number1 points . how many points did he score total ?,43 23,+ number0 number1,66.0,"[1, 5, 9, 10, 11, 18, 19, 20, 26, 27, 28]",2,Addition,in the first half of a trivia game kaleb scored number0 points . in the second half he scored number1 points .,how many points did he score total ?
795,mike owned number0 baseball cards . for his birthday he got number1 more . how many cards does mike have total ?,64 18,+ number0 number1,82.0,"[1, 2, 3, 4, 5, 10, 11, 12, 18, 19, 20]",2,Addition,mike owned number0 baseball cards . for his birthday he got number1 more .,how many cards does mike have total ?
796,for a party henry spent number0 dollars on food and number1 dollars on drinks . how much did henry spend total ?,45 33,+ number0 number1,78.0,"[4, 5, 6, 9, 10, 11, 18, 19, 20]",2,Addition,for a party henry spent number0 dollars on food and number1 dollars on drinks .,how much did henry spend total ?
797,a restaurant sold number0 sodas in the morning and number1 in the afternoon . how many sodas did they sell total ?,77 19,+ number0 number1,96.0,"[1, 2, 3, 4, 5, 8, 9, 10, 18, 19, 20]",2,Addition,a restaurant sold number0 sodas in the morning and number1 in the afternoon .,how many sodas did they sell total ?
798,bianca spent number0 minutes drawing at school and number1 minutes drawing at home . how many minutes total did she spend drawing ?,22 19,+ number0 number1,41.0,"[1, 2, 3, 7, 8, 9, 19, 20, 21]",2,Addition,bianca spent number0 minutes drawing at school and number1 minutes drawing at home .,how many minutes total did she spend drawing ?
799,a fast food restaurant sold number0 small hotdogs and number1 large hotdogs . how many hotdogs did they sell total ?,58 21,+ number0 number1,79.0,"[1, 4, 5, 6, 7, 8, 9, 10, 11, 17, 18, 19]",2,Addition,a fast food restaurant sold number0 small hotdogs and number1 large hotdogs .,how many hotdogs did they sell total ?
800,henry had $ number0 . later he sold some of his old toys and got another $ number1 . how much money does he have total ?,54 2,+ number0 number1,56.0,"[1, 2, 3, 14, 16, 17, 23, 24, 25]",2,Addition,henry had $ number0 . later he sold some of his old toys and got another $ number1 .,how much money does he have total ?
801,an aquarium had number0 fish in it . later they added number1 fish . how many fish are in the aquarium now ?,10 3,+ number0 number1,13.0,"[1, 2, 3, 4, 6, 10, 11, 12, 19, 20, 21]",2,Addition,an aquarium had number0 fish in it . later they added number1 fish .,how many fish are in the aquarium now ?
802,isabel had number0 pieces of candy . her friend gave her number1 more pieces . how many pieces of candy did isabel have total ?,68 25,+ number0 number1,93.0,"[1, 2, 3, 5, 7, 10, 11, 12, 13, 21, 22, 23]",2,Addition,isabel had number0 pieces of candy . her friend gave her number1 more pieces .,how many pieces of candy did isabel have total ?
803,maria had number0 sheets of paper in her desk and number1 more in her backpack . how many did she have total ?,50 41,+ number0 number1,91.0,"[1, 2, 3, 9, 10, 11, 19, 20, 21]",2,Addition,maria had number0 sheets of paper in her desk and number1 more in her backpack .,how many did she have total ?
804,on facebook debby had number0 photos of her friends and number1 photos of her family . how many photos did she have total ?,63 23,+ number0 number1,86.0,"[1, 3, 4, 5, 9, 10, 11, 20, 21, 22]",2,Addition,on facebook debby had number0 photos of her friends and number1 photos of her family .,how many photos did she have total ?
805,adam had number0 dollars saved up . after doing some chores his mother gave him another number1 dollars . how much money does he have total ?,79 13,+ number0 number1,92.0,"[1, 2, 3, 13, 15, 16, 17, 23, 24, 25]",2,Addition,adam had number0 dollars saved up . after doing some chores his mother gave him another number1 dollars .,how much money does he have total ?
806,at the fair amy started with number0 tickets and then bought number1 more . how many tickets did amy have total ?,33 21,+ number0 number1,54.0,"[1, 5, 6, 7, 10, 11, 12, 18, 19, 20]",2,Addition,at the fair amy started with number0 tickets and then bought number1 more .,how many tickets did amy have total ?
807,mike collected number0 cans to recycle on monday and number1 more on tuesday . how many cans did mike collect all together ?,71 27,+ number0 number1,98.0,"[1, 2, 3, 5, 8, 9, 10, 19, 20, 21]",2,Addition,mike collected number0 cans to recycle on monday and number1 more on tuesday .,how many cans did mike collect all together ?
808,a baker already had number0 cakes but made number1 extra . how many cakes did the baker have total ?,78 9,+ number0 number1,87.0,"[1, 3, 4, 5, 6, 7, 8, 9, 16, 17, 18]",2,Addition,a baker already had number0 cakes but made number1 extra .,how many cakes did the baker have total ?
809,a pet store had number0 birds that talked and number1 that did n't . how many birds did the pet store have total ?,64 13,+ number0 number1,77.0,"[1, 3, 4, 5, 7, 8, 9, 10, 20, 21, 22]",2,Addition,a pet store had number0 birds that talked and number1 that did n't .,how many birds did the pet store have total ?
810,at the zoo zoe took number0 pictures . if her sister took another number1 pictures how many did they take total ?,67 17,+ number0 number1,84.0,"[3, 4, 5, 6, 12, 13, 14, 18, 19, 20]",2,Addition,at the zoo zoe took number0 pictures . if her sister took another number1 pictures,how many did they take total ?
811,at the arcade henry had won number0 tickets . later he won number1 more tickets . how many tickets did henry have total ?,58 40,+ number0 number1,98.0,"[1, 2, 4, 5, 6, 7, 11, 12, 13, 14, 20, 21, 22]",2,Addition,at the arcade henry had won number0 tickets . later he won number1 more tickets .,how many tickets did henry have total ?
812,katie had number0 ds games and her friend had number1 games . how many do they have total ?,72 23,+ number0 number1,95.0,"[1, 2, 3, 4, 8, 9, 10, 15, 16, 17]",2,Addition,katie had number0 ds games and her friend had number1 games .,how many do they have total ?
813,while exercising paul did number0 push-ups in the morning and number1 more in the afternoon . how many push-ups did paul do total ?,59 38,+ number0 number1,97.0,"[1, 3, 4, 5, 9, 10, 11, 20, 21, 22]",2,Addition,while exercising paul did number0 push-ups in the morning and number1 more in the afternoon .,how many push-ups did paul do total ?
814,a farmer planted number0 seeds on wednesday and another number1 seeds on thursday . how many seeds did he plant total ?,20 2,+ number0 number1,22.0,"[1, 2, 3, 4, 5, 8, 9, 10, 18, 19, 20]",2,Addition,a farmer planted number0 seeds on wednesday and another number1 seeds on thursday .,how many seeds did he plant total ?
